new_map: 00000000
save: 00000000; 00; dmp_cmds_00000000_00000000.sav
load: opntitle.dat
load: opntitle.dat
load: C:\Users\Jon\Documents\OpenTTD\save\Jon, 14th Sep 1963.sav
load: C:\Users\Jon\Documents\OpenTTD\save\Jon, 14th Sep 1963.sav
cmd: 000af1ab; 46; ff; 000000; 00000002; 00000000; 00000039; "" (CmdPause)
cmd: 000af1ab; 48; 07; 000000; 00000000; 00000001; 00000057; "" (CmdChangeCompanySetting)
cmd: 000af1ab; 48; 08; 000000; 00000000; 00000001; 00000057; "" (CmdChangeCompanySetting)
sync: 000af1ac; 00; fd4a9c40; 5f168282
cmd: 000af1ac; 00; 07; 000000; 00000001; 00000000; 00000057; "" (CmdChangeCompanySetting)
cmd: 000af1ac; 00; 08; 000000; 00000001; 00000000; 00000057; "" (CmdChangeCompanySetting)
cmd: 000af1ac; 01; 09; 03dee9; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ac; 02; 06; 000000; 00002710; 00000002; 0000002e; "" (CmdDecreaseLoan)
cmd: 000af1ac; 02; 07; 000000; 00000002; 00000000; 00000057; "" (CmdChangeCompanySetting)
cmd: 000af1ac; 03; 08; 000000; 00000002; 00000000; 00000057; "" (CmdChangeCompanySetting)
cmd: 000af1ac; 03; 09; 03dee8; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ac; 04; 03; 000000; 00000008; 00000000; 00000060; "" (CmdDeleteGroup)
cmd: 000af1ac; 04; 04; 000000; 0000000a; 00000000; 00000060; "" (CmdDeleteGroup)
cmd: 000af1ac; 05; 06; 000000; 0000ea60; 00000002; 0000002d; "" (CmdIncreaseLoan)
cmd: 000af1ac; 05; 07; 0758dc; 00000000; 00000000; 00000036; "ChooChoo: BuildNewNetwork" (CmdPlaceSign)
cmd: 000af1ac; 06; 08; 064e81; 00000000; 00000000; 00000036; "ChooChoo: BuildNewNetwork" (CmdPlaceSign)
cmd: 000af1ac; 06; 09; 03dee7; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ac; 07; 03; 000000; 00000004; 00000000; 00000060; "" (CmdDeleteGroup)
cmd: 000af1ac; 07; 04; 000000; 00000009; 00000000; 00000060; "" (CmdDeleteGroup)
cmd: 000af1ac; 08; 06; 000000; 00000154; 00000004; 00000027; "" (CmdDeleteOrder)
cmd: 000af1ac; 08; 03; 000000; 00000003; 00000000; 00000060; "" (CmdDeleteGroup)
cmd: 000af1ac; 09; 04; 000000; 00000007; 00000000; 00000060; "" (CmdDeleteGroup)
cmd: 000af1ac; 09; 07; 000000; 00000007; 00000000; 00000037; "" (CmdRenameSign)
cmd: 000af1ac; 0a; 09; 03dee6; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ac; 0a; 03; 000000; 00000002; 00000000; 00000060; "" (CmdDeleteGroup)
cmd: 000af1ac; 0b; 04; 000000; 00000006; 00000000; 00000060; "" (CmdDeleteGroup)
cmd: 000af1ac; 0b; 06; 000000; 00000154; 00000000; 00000030; "active :)" (CmdRenameVehicle)
cmd: 000af1ac; 0c; 07; 04c48b; 00000000; 00000000; 00000036; "ChooChoo: BuildNewNetwork" (CmdPlaceSign)
cmd: 000af1ac; 0c; 08; 000000; 00000008; 00000000; 00000037; "" (CmdRenameSign)
cmd: 000af1ac; 0d; 03; 000000; 00000001; 00000000; 00000060; "" (CmdDeleteGroup)
cmd: 000af1ac; 0d; 04; 000000; 00000005; 00000000; 00000060; "" (CmdDeleteGroup)
cmd: 000af1ac; 0e; 06; 000000; 0000014d; 00000000; 00000030; "active :D" (CmdRenameVehicle)
