new_map: 00000000
save: 00000000; 00; dmp_cmds_00000000_00000000.sav
load: opntitle.dat
load: opntitle.dat
load: /home/jose/.openttd/save/autosave/autosave15.sav
load: /home/jose/.openttd/save/autosave/autosave15.sav
cmd: 000ae3d4; 00; ff; 000000; 00000002; 00000000; 00000039; "(null)" (CmdPause)
cmd: 000ae3d4; 04; 01; 000000; 00000005; 00000000; 00000060; "(null)" (CmdDeleteGroup)
cmdf: 000ae3d4; 04; 02; 000000; 00000000; 00000000; 00000032; "ChooChoo" (CmdRenameCompany)
cmd: 000ae3d4; 04; 02; 000000; 00000000; 00000001; 00000057; "(null)" (CmdChangeCompanySetting)
cmd: 000ae3d4; 08; 01; 000000; 00000004; 00000000; 00000060; "(null)" (CmdDeleteGroup)
cmd: 000ae3d4; 08; 02; 000000; 00000001; 00000000; 00000057; "(null)" (CmdChangeCompanySetting)
cmd: 000ae3d4; 0c; 01; 000000; 00000003; 00000000; 00000060; "(null)" (CmdDeleteGroup)
cmd: 000ae3d4; 0c; 02; 000000; 00000002; 00000000; 00000057; "(null)" (CmdChangeCompanySetting)
cmd: 000ae3d4; 10; 01; 000000; 00000002; 00000000; 00000060; "(null)" (CmdDeleteGroup)
cmd: 000ae3d4; 14; 01; 000000; 00000001; 00000000; 00000060; "(null)" (CmdDeleteGroup)
cmd: 000ae3d4; 18; 01; 000000; 00000000; 00000000; 00000060; "(null)" (CmdDeleteGroup)
cmd: 000ae3d4; 1c; 01; 000000; 00000001; fffffffd; 00000057; "(null)" (CmdChangeCompanySetting)
cmd: 000ae3d4; 20; 01; 000000; 00000000; 00000001; 00000057; "(null)" (CmdChangeCompanySetting)
cmd: 000ae3d4; 24; 01; 000000; 00000001; 00000000; 0000005f; "(null)" (CmdCreateGroup)
cmd: 000ae3d4; 28; 01; 000000; 00000000; 00000000; 00000061; "DIAM: Slonston Mines - Abernin" (CmdRenameGroup)
cmd: 000ae3d4; 2c; 01; 000000; 00000000; 0000005d; 00000062; "(null)" (CmdAddVehicleGroup)
cmd: 000ae3d4; 30; 01; 000000; 00000000; 00000029; 00000062; "(null)" (CmdAddVehicleGroup)
cmd: 000ae3d4; 34; 01; 000000; 00000000; 0000001b; 00000062; "(null)" (CmdAddVehicleGroup)
cmd: 000ae3d4; 38; 01; 000000; 00000000; 00000017; 00000062; "(null)" (CmdAddVehicleGroup)
cmd: 000ae3d4; 3c; 01; 000000; 00000000; 00000012; 00000062; "(null)" (CmdAddVehicleGroup)
cmd: 000ae3d4; 40; 01; 000000; 00000001; 00000000; 0000005f; "(null)" (CmdCreateGroup)
cmd: 000ae3d4; 44; 01; 000000; 00000001; 00000000; 00000061; "OIL_: Planingville Vallée - P" (CmdRenameGroup)
cmd: 000ae3d4; 48; 01; 000000; 00000001; 00000054; 00000062; "(null)" (CmdAddVehicleGroup)
cmd: 000ae3d5; 02; 01; 000000; 00000001; 00000047; 00000062; "(null)" (CmdAddVehicleGroup)
cmd: 000ae3d5; 06; 01; 000000; 00000001; 0000003c; 00000062; "(null)" (CmdAddVehicleGroup)
cmd: 000ae3d5; 0a; 01; 000000; 00000001; 00000033; 00000062; "(null)" (CmdAddVehicleGroup)
cmd: 000ae3d5; 0e; 01; 000000; 00000001; 00000030; 00000062; "(null)" (CmdAddVehicleGroup)
cmd: 000ae3d5; 12; 01; 000000; 00000001; 0000002f; 00000062; "(null)" (CmdAddVehicleGroup)
cmd: 000ae3d5; 16; 01; 000000; 00000001; 0000002c; 00000062; "(null)" (CmdAddVehicleGroup)
cmd: 000ae3d5; 1a; 01; 000000; 00000001; 00000025; 00000062; "(null)" (CmdAddVehicleGroup)
cmd: 000ae3d5; 1e; 01; 000000; 00000001; 00000016; 00000062; "(null)" (CmdAddVehicleGroup)
