  PID USER      PR  NI  VIRT  RES  SHR S  %CPU %MEM    TIME+  COMMAND      // added by me to help see who's who
26405 krinn     20   0  207m 168m  16m R  39,1  5,6  33:46.37 openttd                                                                              
26405 krinn     20   0  207m 168m  16m R  37,6  5,6  33:47.50 openttd                                                                              
26405 krinn     20   0  210m 168m  16m R  37,9  5,6  33:48.64 openttd                                                                              
26405 krinn     20   0  209m 168m  16m R  36,3  5,6  33:49.73 openttd                                                                              
26405 krinn     20   0  209m 168m  16m R  32,3  5,6  33:50.70 openttd                                                                              
26405 krinn     20   0  207m 168m  16m S  35,9  5,6  33:51.78 openttd                                                                              
26405 krinn     20   0  207m 168m  16m S  33,6  5,6  33:52.79 openttd                                                                              
26405 krinn     20   0  207m 168m  16m S  32,6  5,6  33:53.77 openttd                                                                              
26405 krinn     20   0  207m 168m  16m S  34,6  5,6  33:54.81 openttd                                                                              
26405 krinn     20   0  208m 169m  16m R  43,2  5,6  33:56.11 openttd                                                                              
26405 krinn     20   0  208m 169m  16m R  42,6  5,6  33:57.39 openttd                                                                              
26405 krinn     20   0  208m 169m  16m R  42,9  5,6  33:58.68 openttd                                                                              
26405 krinn     20   0  208m 169m  16m R  41,6  5,6  33:59.93 openttd                                                                              
26405 krinn     20   0  208m 169m  16m R  41,9  5,6  34:01.19 openttd                                                                              
26405 krinn     20   0  210m 169m  16m R  37,6  5,6  34:02.32 openttd                                                                              
26405 krinn     20   0  208m 169m  16m S  40,3  5,6  34:03.53 openttd                                                                              
26405 krinn     20   0  208m 169m  16m S  40,9  5,6  34:04.76 openttd                                                                              
26405 krinn     20   0  208m 169m  16m R  40,2  5,6  34:05.97 openttd                                                                              
26405 krinn     20   0  208m 169m  16m S  39,2  5,6  34:07.15 openttd                                                                              
26405 krinn     20   0  208m 169m  16m S  36,6  5,6  34:08.25 openttd                                                                              
26405 krinn     20   0  208m 169m  16m S  35,6  5,6  34:09.32 openttd                                                                              
26405 krinn     20   0  208m 169m  16m S  35,6  5,6  34:10.39 openttd                                                                              
26405 krinn     20   0  208m 169m  16m R  36,2  5,6  34:11.48 openttd                                                                              
26405 krinn     20   0  208m 169m  16m R  39,3  5,6  34:12.66 openttd                                                                              
26405 krinn     20   0  208m 169m  16m R  38,9  5,6  34:13.83 openttd                                                                              
26405 krinn     20   0  208m 169m  16m R  38,3  5,6  34:14.98 openttd                                                                              
26405 krinn     20   0  208m 169m  16m S  37,9  5,6  34:16.12 openttd                                                                              
26405 krinn     20   0  208m 169m  16m S  37,6  5,6  34:17.25 openttd                                                                              
26405 krinn     20   0  208m 169m  16m S  37,2  5,6  34:18.37 openttd                                                                              
26405 krinn     20   0  210m 169m  16m R  38,2  5,6  34:19.52 openttd                                                                              
26405 krinn     20   0  208m 169m  16m S  42,2  5,6  34:20.79 openttd                                                                              
26405 krinn     20   0  208m 169m  16m S  39,3  5,6  34:21.97 openttd                                                                              
26405 krinn     20   0  208m 169m  16m S  35,9  5,6  34:23.05 openttd                                                                              


