<planetmaker> krinn: random shot in the dark, but how does it perform when you start it with ./openttd -b 8bpp-optimized ?
29605 krinn     20   0  150m  59m  15m S  13,1  2,0   0:02.54 openttd           
29605 krinn     20   0  150m  60m  15m R  16,3  2,0   0:03.03 openttd           
29605 krinn     20   0  150m  60m  15m S  15,6  2,0   0:03.50 openttd           
29605 krinn     20   0  150m  60m  15m R  14,0  2,0   0:03.92 openttd           
29605 krinn     20   0  150m  60m  15m S  16,3  2,0   0:04.41 openttd           
29605 krinn     20   0  150m  60m  15m S  17,0  2,0   0:04.92 openttd           
29605 krinn     20   0  150m  60m  15m R  16,0  2,0   0:05.40 openttd           
29605 krinn     20   0  150m  60m  15m S  17,6  2,0   0:05.93 openttd           
29605 krinn     20   0  150m  61m  15m S  16,6  2,0   0:06.43 openttd           
29605 krinn     20   0  150m  61m  15m S  14,6  2,0   0:06.87 openttd           
29605 krinn     20   0  150m  61m  15m S  15,3  2,0   0:07.33 openttd           
29605 krinn     20   0  150m  61m  15m S  15,6  2,0   0:07.80 openttd           
29605 krinn     20   0  150m  61m  15m R  17,0  2,0   0:08.31 openttd           
29605 krinn     20   0  150m  61m  15m S  15,6  2,0   0:08.78 openttd           
29605 krinn     20   0  150m  61m  15m S  16,3  2,0   0:09.27 openttd           
29605 krinn     20   0  150m  61m  15m S  15,6  2,0   0:09.74 openttd           
29605 krinn     20   0  150m  61m  15m S  16,3  2,0   0:10.23 openttd           
29605 krinn     20   0  150m  61m  15m S  15,6  2,0   0:10.70 openttd           
29605 krinn     20   0  150m  61m  15m S  15,3  2,0   0:11.16 openttd           
29605 krinn     20   0  150m  61m  15m S  15,0  2,0   0:11.61 openttd           
29605 krinn     20   0  150m  61m  15m S  16,0  2,0   0:12.09 openttd           
29605 krinn     20   0  151m  62m  15m S  17,6  2,1   0:12.62 openttd           
29605 krinn     20   0  151m  62m  15m S  17,0  2,1   0:13.13 openttd           
29605 krinn     20   0  151m  62m  15m S  15,6  2,1   0:13.60 openttd           
29605 krinn     20   0  151m  62m  15m S  17,0  2,1   0:14.11 openttd           
29605 krinn     20   0  151m  62m  15m S  16,0  2,1   0:14.59 openttd           
29605 krinn     20   0  151m  62m  15m R  15,3  2,1   0:15.05 openttd           
29605 krinn     20   0  151m  62m  15m R  15,6  2,1   0:15.52 openttd           
29605 krinn     20   0  151m  62m  15m S  18,6  2,1   0:16.08 openttd           
29605 krinn     20   0  151m  62m  15m R  17,3  2,1   0:16.60 openttd           
29605 krinn     20   0  151m  62m  15m S  16,6  2,1   0:17.10 openttd           
29605 krinn     20   0  151m  62m  15m S  19,0  2,1   0:17.67 openttd           
29605 krinn     20   0  151m  62m  15m S  16,6  2,1   0:18.17 openttd           
29605 krinn     20   0  151m  62m  15m S  16,0  2,1   0:18.65 openttd           
29605 krinn     20   0  151m  62m  15m S  15,0  2,1   0:19.10 openttd           
29605 krinn     20   0  151m  62m  15m S  15,6  2,1   0:19.57 openttd           
29605 krinn     20   0  153m  62m  15m R  17,6  2,1   0:20.10 openttd           
29605 krinn     20   0  151m  63m  15m R  21,0  2,1   0:20.73 openttd           
29605 krinn     20   0  151m  63m  15m S  11,6  2,1   0:21.08 openttd           
29605 krinn     20   0  151m  63m  15m S   5,0  2,1   0:21.23 openttd           
29605 krinn     20   0  151m  63m  15m S   4,3  2,1   0:21.36 openttd           
29605 krinn     20   0  151m  63m  15m S   4,3  2,1   0:21.49 openttd           
29605 krinn     20   0  151m  63m  15m S   5,0  2,1   0:21.64 openttd           
29605 krinn     20   0  151m  63m  15m S  11,0  2,1   0:21.97 openttd           
29605 krinn     20   0  151m  63m  15m S  21,0  2,1   0:22.60 openttd           
29605 krinn     20   0  151m  63m  15m S  25,0  2,1   0:23.35 openttd           
29605 krinn     20   0  151m  63m  15m S  20,6  2,1   0:23.97 openttd           
29605 krinn     20   0  151m  63m  15m S  22,3  2,1   0:24.64 openttd           
29605 krinn     20   0  151m  63m  15m S  19,3  2,1   0:25.22 openttd           
29605 krinn     20   0  151m  63m  15m R  19,6  2,1   0:25.81 openttd           
29605 krinn     20   0  151m  63m  15m R  21,6  2,1   0:26.46 openttd           
