0: dm.dmBitsPerPel: 32, dm.dmPelsWidth: 320, dm.dmPelsHeight: 200
1: dm.dmBitsPerPel: 32, dm.dmPelsWidth: 320, dm.dmPelsHeight: 200
2: dm.dmBitsPerPel: 32, dm.dmPelsWidth: 320, dm.dmPelsHeight: 200
3: dm.dmBitsPerPel: 32, dm.dmPelsWidth: 320, dm.dmPelsHeight: 240
4: dm.dmBitsPerPel: 32, dm.dmPelsWidth: 320, dm.dmPelsHeight: 240
5: dm.dmBitsPerPel: 32, dm.dmPelsWidth: 320, dm.dmPelsHeight: 240
6: dm.dmBitsPerPel: 32, dm.dmPelsWidth: 400, dm.dmPelsHeight: 300
7: dm.dmBitsPerPel: 32, dm.dmPelsWidth: 400, dm.dmPelsHeight: 300
8: dm.dmBitsPerPel: 32, dm.dmPelsWidth: 400, dm.dmPelsHeight: 300
9: dm.dmBitsPerPel: 32, dm.dmPelsWidth: 512, dm.dmPelsHeight: 384
10: dm.dmBitsPerPel: 32, dm.dmPelsWidth: 512, dm.dmPelsHeight: 384
11: dm.dmBitsPerPel: 32, dm.dmPelsWidth: 512, dm.dmPelsHeight: 384
12: dm.dmBitsPerPel: 32, dm.dmPelsWidth: 640, dm.dmPelsHeight: 400
13: dm.dmBitsPerPel: 32, dm.dmPelsWidth: 640, dm.dmPelsHeight: 400
14: dm.dmBitsPerPel: 32, dm.dmPelsWidth: 640, dm.dmPelsHeight: 400
15: dm.dmBitsPerPel: 32, dm.dmPelsWidth: 640, dm.dmPelsHeight: 480
16: dm.dmBitsPerPel: 32, dm.dmPelsWidth: 640, dm.dmPelsHeight: 480
17: dm.dmBitsPerPel: 32, dm.dmPelsWidth: 640, dm.dmPelsHeight: 480
18: dm.dmBitsPerPel: 32, dm.dmPelsWidth: 800, dm.dmPelsHeight: 600
19: dm.dmBitsPerPel: 32, dm.dmPelsWidth: 800, dm.dmPelsHeight: 600
20: dm.dmBitsPerPel: 32, dm.dmPelsWidth: 800, dm.dmPelsHeight: 600
21: dm.dmBitsPerPel: 32, dm.dmPelsWidth: 1024, dm.dmPelsHeight: 768
22: dm.dmBitsPerPel: 32, dm.dmPelsWidth: 1024, dm.dmPelsHeight: 768
23: dm.dmBitsPerPel: 32, dm.dmPelsWidth: 1024, dm.dmPelsHeight: 768
24: dm.dmBitsPerPel: 32, dm.dmPelsWidth: 1152, dm.dmPelsHeight: 864
25: dm.dmBitsPerPel: 32, dm.dmPelsWidth: 1152, dm.dmPelsHeight: 864
26: dm.dmBitsPerPel: 32, dm.dmPelsWidth: 1152, dm.dmPelsHeight: 864
27: dm.dmBitsPerPel: 32, dm.dmPelsWidth: 1280, dm.dmPelsHeight: 600
28: dm.dmBitsPerPel: 32, dm.dmPelsWidth: 1280, dm.dmPelsHeight: 600
29: dm.dmBitsPerPel: 32, dm.dmPelsWidth: 1280, dm.dmPelsHeight: 600
30: dm.dmBitsPerPel: 32, dm.dmPelsWidth: 1280, dm.dmPelsHeight: 720
31: dm.dmBitsPerPel: 32, dm.dmPelsWidth: 1280, dm.dmPelsHeight: 720
32: dm.dmBitsPerPel: 32, dm.dmPelsWidth: 1280, dm.dmPelsHeight: 768
33: dm.dmBitsPerPel: 32, dm.dmPelsWidth: 1280, dm.dmPelsHeight: 768
