window: 129, 0, 22e0d4
window: 131, 0, 22e0fc
window: 1, 0, 22e0b0
window: 5, 0, 4000500
csc: 1280, 1024
window: 3, 0, 0
window: 24, 1, 0
window: 70, 0, 22e654
window: 127, 2, 0
window: 127, 0, 0
window: 127, 1, 0
window: 70, 0, 22e654
window: 28, 1, 348
window: 134, 1, 0
window: 6, 1, 0
window: 641, 1, c000000f
window: 642, 2, 0
window: 7, 0, 0
window: 133, 1, 0
window: 20, dd01114f, 0
window: 71, 0, 22e654
window: 136, 4, 0
window: 132, 0, 32b0327
window: 32, 840716, 2000001
window: 512, 0, 32b0327
window: 15, 0, 0
window: 132, 0, 32b0327
window: 15, 0, 0
window: 15, 0, 0
window: 132, 0, 32b0327
window: 15, 0, 0
window: 15, 0, 0
window: 132, 0, 32b0327
window: 15, 0, 0
window: 15, 0, 0
window: 15, 0, 0
window: 132, 0, 32b0327
window: 15, 0, 0
window: 15, 0, 0
window: 132, 0, 32b0327
window: 32, 840716, 2000001
window: 512, 0, 32b0327
window: 15, 0, 0
window: 15, 0, 0
window: 132, 0, 32b0327
window: 15, 0, 0
window: 15, 0, 0
window: 132, 0, 32b0327
window: 15, 0, 0
window: 132, 0, 32a0328
window: 32, 840716, 2000001
window: 512, 0, 32a0328
window: 15, 0, 0
window: 132, 0, 3270329
window: 32, 840716, 2000001
window: 512, 0, 3270329
window: 15, 0, 0
window: 132, 0, 3200329
window: 32, 840716, 2000001
window: 512, 0, 3200329
window: 15, 0, 0
window: 15, 0, 0
window: 132, 0, 31b0329
window: 32, 840716, 2000001
window: 512, 0, 31b0329
window: 15, 0, 0
window: 132, 0, 3120328
window: 32, 840716, 2000001
window: 512, 0, 3120328
window: 15, 0, 0
window: 132, 0, 3040324
window: 32, 840716, 2000001
window: 512, 0, 3040324
window: 15, 0, 0
window: 15, 0, 0
window: 132, 0, 2f8031d
window: 32, 840716, 2000001
window: 512, 0, 2f8031d
window: 15, 0, 0
window: 132, 0, 2f8031d
window: 132, 0, 2e70312
window: 32, 840716, 2000001
window: 512, 0, 2e70312
window: 15, 0, 0
window: 132, 0, 2d80309
window: 32, 840716, 2000001
window: 512, 0, 2d80309
window: 15, 0, 0
window: 15, 0, 0
window: 132, 0, 2c902fc
window: 32, 840716, 2000001
window: 512, 0, 2c902fc
window: 15, 0, 0
window: 132, 0, 2bb02f0
window: 32, 840716, 2000001
window: 512, 0, 2bb02f0
window: 15, 0, 0
window: 132, 0, 2ae02e9
window: 32, 840716, 2000001
window: 512, 0, 2ae02e9
window: 15, 0, 0
window: 15, 0, 0
window: 132, 0, 2a602e3
window: 32, 840716, 2000001
window: 512, 0, 2a602e3
window: 15, 0, 0
window: 132, 0, 2a102e0
window: 32, 840716, 2000001
window: 512, 0, 2a102e0
window: 15, 0, 0
window: 132, 0, 29f02df
window: 32, 840716, 2000001
window: 512, 0, 29f02df
window: 132, 0, 29f02df
window: 15, 0, 0
window: 132, 0, 29e02de
window: 32, 840716, 2000001
window: 512, 0, 29e02de
window: 15, 0, 0
window: 15, 0, 0
window: 15, 0, 0
window: 132, 0, 29e02de
window: 15, 0, 0
window: 15, 0, 0
window: 132, 0, 29b02dc
window: 32, 840716, 2000001
window: 512, 0, 29b02dc
window: 15, 0, 0
window: 132, 0, 29602d6
window: 32, 840716, 2000001
window: 512, 0, 29602d6
window: 15, 0, 0
